full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 804.614
1 1 2 1 1926.3
1 1 3 1 344.052
1 1 4 1 183.983
1 1 5 1 5729.43
1 1 6 1 318.49
1 1 7 1 154.705
1 1 8 1 946.159
1 1 9 1 1556.75
1 1 10 1 1337.51
1 2 1 1 700.182
1 2 2 1 1519.67
1 2 3 1 225.007
1 2 4 1 233.357
1 2 5 1 3706.69
1 2 6 1 251.319
1 2 7 1 113.225
1 2 8 1 737.637
1 2 9 1 1334.22
1 2 10 1 1172.97
1 3 1 1 563.597
1 3 2 1 1187.05
1 3 3 1 145.146
1 3 4 1 289.806
1 3 5 1 2338.5
1 3 6 1 197.874
1 3 7 1 81.6031
1 3 8 1 566.655
1 3 9 1 1174.52
1 3 10 1 978.78
1 4 1 1 427.732
1 4 2 1 917.005
1 4 3 1 90.7658
1 4 4 1 371.285
1 4 5 1 1454.95
1 4 6 1 151.252
1 4 7 1 57.9285
1 4 8 1 430.488
1 4 9 1 1090.21
1 4 10 1 780.889
1 5 1 1 308.798
1 5 2 1 702.015
1 5 3 1 55.9797
1 5 4 1 482.663
1 5 5 1 895.453
1 5 6 1 115.322
1 5 7 1 40.5117
1 5 8 1 324.195
1 5 9 1 1068.51
1 5 10 1 604.045
1 6 1 1 213.427
1 6 2 1 533.991
1 6 3 1 35.3214
1 6 4 1 615.542
1 6 5 1 545.699
1 6 6 1 89.479
1 6 7 1 27.9265
1 6 8 1 242.475
1 6 9 1 1083.84
1 6 10 1 458.267
1 7 1 1 142.946
1 7 2 1 403.451
1 7 3 1 22.1402
1 7 4 1 756.264
1 7 5 1 331.206
1 7 6 1 68.9714
1 7 7 1 18.9927
1 7 8 1 180.587
1 7 9 1 1113.94
1 7 10 1 343.412
1 8 1 1 93.3293
1 8 2 1 303.221
1 8 3 1 13.7236
1 8 4 1 892.469
1 8 5 1 200.273
1 8 6 1 52.9087
1 8 7 1 12.7574
1 8 8 1 134.089
1 8 9 1 1145.3
1 8 10 1 255.425
1 9 1 1 59.8281
1 9 2 1 226.755
1 9 3 1 8.39733
1 9 4 1 1015.85
1 9 5 1 120.885
1 9 6 1 40.1484
1 9 7 1 8.47309
1 9 8 1 99.3785
1 9 9 1 1171.88
1 9 10 1 189.112
1 10 1 1 37.947
1 10 2 1 168.709
1 10 3 1 5.09482
1 10 4 1 1122.26
1 10 5 1 73.1348
1 10 6 1 29.979
1 10 7 1 5.57077
1 10 8 1 73.5857
1 10 9 1 1192.11
1 10 10 1 139.62
1 11 1 1 23.8368
1 11 2 1 125.113
1 11 3 1 3.11286
1 11 4 1 1210.72
1 11 5 1 44.266
1 11 6 1 22.227
1 11 7 1 3.62957
1 11 8 1 54.4408
1 11 9 1 1206.52
1 11 10 1 102.913
1 12 1 1 14.8905
1 12 2 1 92.5982
1 12 3 1 1.95488
1 12 4 1 1282.23
1 12 5 1 26.7585
1 12 6 1 16.4486
1 12 7 1 2.34756
1 12 8 1 40.2472
1 12 9 1 1216.34
1 12 10 1 75.7842
1 13 1 1 9.41573
1 13 2 1 68.4267
1 13 3 1 1.2689
1 13 4 1 1338.8
1 13 5 1 16.1606
1 13 6 1 12.1556
1 13 7 1 1.5208
1 13 8 1 29.7393
1 13 9 1 1222.84
1 13 10 1 55.7739
1 14 1 1 6.32003
1 14 2 1 50.5141
1 14 3 1 0.869174
1 14 4 1 1382.81
1 14 5 1 9.74968
1 14 6 1 8.98386
1 14 7 1 1.02114
1 14 8 1 21.9667
1 14 9 1 1227.04
1 14 10 1 41.0322
1 15 1 1 4.85472
1 15 2 1 37.2433
1 15 3 1 0.60322
1 15 4 1 1416.6
1 15 5 1 5.88363
1 15 6 1 6.6218
1 15 7 1 0.753075
1 15 8 1 16.223
1 15 9 1 1229.71
1 15 10 1 30.1796
1 16 1 1 4.40761
1 16 2 1 27.4371
1 16 3 1 0.435142
1 16 4 1 1442.27
1 16 5 1 3.55258
1 16 6 1 4.87516
1 16 7 1 0.627687
1 16 8 1 11.9795
1 16 9 1 1231.39
1 16 10 1 22.194
1 17 1 1 4.5801
1 17 2 1 20.2045
1 17 3 1 0.339522
1 17 4 1 1461.6
1 17 5 1 2.15838
1 17 6 1 3.58971
1 17 7 1 0.575492
1 17 8 1 8.84498
